REFERENCE_PE,NOM,CODE_SAFIR,TYPE_SITE,REGION,LIBELLE_REGION,COMPLEMENT_ADRESSE,DC_COMPLEMENTADRSITEPHYSIQUE,ADRESSE,CODE_POSTAL,COMMUNE,DN_LATITUDE,DN_LONGITUDE
ARA1362005312,LE BOURGET DU LAC,73055,DDA,84,AUVERGNE-RHONE-ALPES,NULL,SAVOIE TECHNOLAC PARC OURAGAN BAT B,20 RUE LAC MAJEUR,73370,LE BOURGET DU LAC,"45,643704","5,868401"
ARA0173003800,MEYTHET,74013,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,1 RUE DE L EURO,74960,MEYTHET,"45,916082","6,093319"
ARA0176003829,ANNECY GENEVE 127,74016,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,127 AVENUE DE GENEVE,74000,ANNECY,"45,923614","6,123742"
ARA0170003904,VILLE LA GRAND,74021,ALE,84,AUVERGNE-RHONE-ALPES,NULL,RESIDENCE ARC EN CIEL,21 RUE DES TOURNELLES,74100,VILLE LA GRAND,"46,197685","6,243195"
ARA0181003899,ANNEMASSE VERDUN,74024,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,21 AVENUE DE VERDUN,74100,ANNEMASSE,"46,18622","6,24333"
ARA0184003819,CLUSES CLEMENCEAU 1115,74032,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,1115 AVENUE GEORGES CLEMENCEAU,74300,CLUSES,"46,0706","6,566653"
ARA0185005900,THONON LES BAINS,74040,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,22 rue Jean Blanchard,74200,THONON LES BAINS,"46,36963","6,481874"
ARA0186003864,SALLANCHES COLONNEY,74055,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,170 RUE DU COLONNEY,74700,SALLANCHES,"45,9455","6,635273"
ARA0166005899,SEYNOD,74063,DDA,84,AUVERGNE-RHONE-ALPES,NULL,NULL,2 Rue du champ de la taillée,74600,SEYNOD,"45,888842","6,100223"
ARA0188005899,SEYNOD,74086,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,2 Rue du champ de la taillée,74600,SEYNOD,"45,888842","6,100223"
IDF0050005625,Paris 7 8 9ème Saint Petersbourg,75018,ALE,11,ILE-DE-FRANCE,NULL,NULL,34 rue de Saint Petersbourg,75008,PARIS,"48,882476","2,326325"
IDF0034001630,Plateau DR Paris,75082,DDA,11,ILE-DE-FRANCE,NULL,2eme DT75 - 5eme PTC / Salle Formation,21 23 RUE DES ARDENNES,75019,PARIS,"48,888475","2,386026"
IDF0072005798,Paris 1 2 3 et 4eme Paul Lelong,75106,ALE,11,ILE-DE-FRANCE,NULL,NULL,4 rue Paul Lelong,75002,PARIS,"48,867779","2,343255"
IDF0074005572,Paris 12ème Diderot (APE-Cadres),75202,ALE,11,ILE-DE-FRANCE,NULL,NULL,3 boulevard Diderot,75012,PARIS,"48,845457","2,368915"
IDF0018001721,Paris 11ème Beaumarchais,75210,ALE,11,ILE-DE-FRANCE,NULL,NULL,11 rue Pelee,75011,PARIS,"48,859783","2,36986"
IDF0081001761,Paris 6 et 14ème Jean Moulin,75225,ALE,11,ILE-DE-FRANCE,NULL,NULL,9 rue Friant,75014,PARIS,"48,826198","2,324702"
IDF0059005576,Paris 18ème Gennevoix,75233,ALE,11,ILE-DE-FRANCE,NULL,NULL,11 rue Maurice Genevoix,75018,PARIS,"48,894212","2,360109"
IDF0032001737,Paris 19ème Laumière,75241,ALE,11,ILE-DE-FRANCE,NULL,NULL,75 AVENUE JEAN JAURES,75019,PARIS,"48,885008","2,378089"
IDF0033005573,PARIS 19ème Armand Carrel,75264,ALE,11,ILE-DE-FRANCE,NULL,NULL,42-46 rue Armand Carrel,75019,PARIS,"48,882866","2,376476"
IDF0021005796,Paris 20ème PIAT,75463,ALE,11,ILE-DE-FRANCE,NULL,NULL,51 rue Piat,75020,PARIS,"48,872928","2,383708"
IDF0039005599,Paris 15ème Brancion (APE-AVS-Cadres),75654,ALE,11,ILE-DE-FRANCE,NULL,NULL,10 rue Brancion,75015,PARIS,"48,835715","2,305833"
IDF0016005797,Paris 20ème Vitruve,75685,ALE,11,ILE-DE-FRANCE,NULL,NULL,60 rue Vitruve,75020,PARIS,"48,859062","2,4064"
IDF0030001648,PARIS 10E VICQ D AZIR,75693,ALE,11,ILE-DE-FRANCE,NULL,NULL,26 rue Vicq d'Azir,75010,PARIS,"48,876075","2,371421"
